
2023/12/16 (22:07:18) | ===> btop++ v.1.2.13
2023/12/16 (22:07:18) | INFO: Logger set to DEBUG
2023/12/16 (22:07:19) | INFO: Logger set to INFO
2023/12/16 (22:09:39) | INFO: Quitting! Runtime: 00:03:59

2023/12/16 (22:09:41) | ===> btop++ v.1.2.13
2023/12/16 (22:09:41) | INFO: Logger set to INFO
2023/12/16 (22:09:41) | INFO: Running on /dev/pts/2

2023/12/16 (22:09:57) | ===> btop++ v.1.2.13
2023/12/16 (22:09:57) | INFO: Logger set to INFO
2023/12/16 (22:09:57) | INFO: Running on /dev/pts/2

2023/12/17 (13:17:51) | ===> btop++ v.1.2.13
2023/12/17 (13:17:51) | INFO: Logger set to INFO
2023/12/17 (13:17:51) | INFO: Running on /dev/pts/2

2023/12/17 (13:18:11) | ===> btop++ v.1.2.13
2023/12/17 (13:18:11) | INFO: Logger set to INFO
2023/12/17 (13:18:11) | INFO: Running on /dev/pts/2
2023/12/17 (13:18:47) | INFO: Quitting! Runtime: 00:00:36

2023/12/17 (15:44:20) | ===> btop++ v.1.2.13
2023/12/17 (15:44:20) | INFO: Logger set to INFO
2023/12/17 (15:44:20) | INFO: Running on /dev/pts/2

2023/12/18 (22:15:42) | ===> btop++ v.1.2.13
2023/12/18 (22:15:42) | INFO: Logger set to INFO
2023/12/18 (22:15:42) | INFO: Running on /dev/pts/2

2023/12/19 (23:08:13) | ===> btop++ v.1.2.13
2023/12/19 (23:08:13) | INFO: Logger set to INFO
2023/12/19 (23:08:13) | INFO: Running on /dev/pts/0
